Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth2,35,2024-11-18 06:50:40.497,192.168.1.10,192.168.1.20,TCP,66,54966 → 44818 0x0010
s1-eth1,45,2024-11-18 06:50:40.729,192.168.1.10,192.168.1.30,TCP,74,46282 → 44818 0x0002
s1-eth1,46,2024-11-18 06:50:40.729,192.168.1.30,192.168.1.10,TCP,74,44818 → 46282 0x0012
s1-eth3,18,2024-11-18 06:50:40.729,192.168.1.10,192.168.1.30,TCP,74,46282 → 44818 0x0002
s1-eth1,47,2024-11-18 06:50:40.729,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0010
s1-eth1,48,2024-11-18 06:50:40.760,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth1,49,2024-11-18 06:50:40.760,192.168.1.30,192.168.1.10,TCP,66,44818 → 46282 0x0010
s1-eth1,50,2024-11-18 06:50:40.763,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,51,2024-11-18 06:50:40.763,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0010
s1-eth1,52,2024-11-18 06:50:40.765,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth2,36,2024-11-18 06:50:40.831,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,215,MDNS
s1-eth1,53,2024-11-18 06:50:40.778,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,19,2024-11-18 06:50:40.729,192.168.1.30,192.168.1.10,TCP,74,44818 → 46282 0x0012
s1-eth1,54,2024-11-18 06:50:40.781,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0011
s1-eth1,55,2024-11-18 06:50:40.781,192.168.1.30,192.168.1.10,TCP,66,44818 → 46282 0x0011
s1-eth3,20,2024-11-18 06:50:40.729,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0010
s1-eth3,21,2024-11-18 06:50:40.760,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,22,2024-11-18 06:50:40.760,192.168.1.30,192.168.1.10,TCP,66,44818 → 46282 0x0010
s1-eth3,23,2024-11-18 06:50:40.763,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,56,2024-11-18 06:50:40.781,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0010
s1-eth3,24,2024-11-18 06:50:40.763,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0010
s1-eth3,25,2024-11-18 06:50:40.765,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,26,2024-11-18 06:50:40.778,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,27,2024-11-18 06:50:40.781,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0011
s1-eth3,28,2024-11-18 06:50:40.781,192.168.1.30,192.168.1.10,TCP,66,44818 → 46282 0x0011
s1-eth3,29,2024-11-18 06:50:40.781,192.168.1.10,192.168.1.30,TCP,66,46282 → 44818 0x0010
s1-eth1,57,2024-11-18 06:50:41.075,fe80::98de:5bff:fea6:a8b9,ff02::fb,MDNS,107,MDNS
s1-eth3,30,2024-11-18 06:50:41.142,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,107,MDNS
s1-eth3,31,2024-11-18 06:50:42.004,fe80::21d:9cff:fec8:bdf2,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,37,2024-11-18 06:50:41.842,fe80::c87a:deff:fe55:81fe,ff02::fb,MDNS,107,MDNS
s1-eth1,58,2024-11-18 06:50:42.135,192.168.1.10,192.168.1.20,TCP,74,36906 → 44818 0x0002
s1-eth1,59,2024-11-18 06:50:42.135,192.168.1.20,192.168.1.10,TCP,74,44818 → 36906 0x0012
s1-eth1,60,2024-11-18 06:50:42.135,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0010
s1-eth3,32,2024-11-18 06:50:42.302,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,215,MDNS
s1-eth1,61,2024-11-18 06:50:42.166,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,38,2024-11-18 06:50:42.135,192.168.1.10,192.168.1.20,TCP,74,36906 → 44818 0x0002
s1-eth1,62,2024-11-18 06:50:42.166,192.168.1.20,192.168.1.10,TCP,66,44818 → 36906 0x0010
s1-eth1,63,2024-11-18 06:50:42.169,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,64,2024-11-18 06:50:42.169,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0010
s1-eth3,33,2024-11-18 06:50:42.388,fe80::d0e5:f6ff:fe46:4fd5,ff02::2,ICMPV6,70,ICMPV6
s1-eth3,34,2024-11-18 06:50:42.477,192.168.1.10,192.168.1.30,TCP,74,60092 → 44818 0x0002
s1-eth3,35,2024-11-18 06:50:42.477,192.168.1.30,192.168.1.10,TCP,74,44818 → 60092 0x0012
s1-eth3,36,2024-11-18 06:50:42.477,192.168.1.10,192.168.1.30,TCP,66,60092 → 44818 0x0010
s1-eth1,65,2024-11-18 06:50:42.171,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,39,2024-11-18 06:50:42.135,192.168.1.20,192.168.1.10,TCP,74,44818 → 36906 0x0012
s1-eth2,40,2024-11-18 06:50:42.135,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0010
s1-eth2,41,2024-11-18 06:50:42.166,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,42,2024-11-18 06:50:42.166,192.168.1.20,192.168.1.10,TCP,66,44818 → 36906 0x0010
s1-eth2,43,2024-11-18 06:50:42.169,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,44,2024-11-18 06:50:42.169,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0010
s1-eth2,45,2024-11-18 06:50:42.171,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,66,2024-11-18 06:50:42.184,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,67,2024-11-18 06:50:42.187,192.168.1.10,192.168.1.20,TCP,66,36906 → 44818 0x0011
s1-eth1,68,2024-11-18 06:50:42.188,192.168.1.20,192.168.1.10,TCP,66,44818 → 36906 0x0011
